{1, 2, 3, 2, 1}		2		Passed	


	{4, 4, 5, 6, 5}		8		Passed	


	{1, 2, 3, 3, 5}		8		Passed	


	{3, 3, 3, 3, 3}		10		Passed	


	{2, 2, 2, 2, 2}		0		Passed	


	{1, 2, 3, 4, 5}		6		Passed	


	{6, 6, 6, 6, 6}		0		Passed	


	{5, 5, 5, 5, 5}		20		Passed	


	{1, 1, 1, 1, 1}		0		Passed	


	{2, 2, 2, 2, 2}		0		Passed	


	{3, 3, 3, 3, 3}		10		Passed	


	{4, 4, 4, 4, 4}		0		Passed	


	{5, 4, 4, 1, 4}		4		Passed	


	{3, 2, 5, 3, 3}		10		Passed	


	{2, 6, 4, 2, 4}		0		Passed	


	{2, 6, 6, 4, 2}		0		Passed	


	{6, 6, 1, 3, 5}		6		Passed	


	{3, 2, 1, 4, 4}		2		Passed	


	{1, 3, 6, 3, 2}		4		Passed	


	{6, 4, 2, 4, 3}		2		Passed	


	{3, 3, 6, 3, 4}		6		Passed	


	{1, 1, 1, 3, 6}		2		Passed	


	{6, 6, 5, 1, 5}		8		Passed	


	{2, 1, 1, 3, 2}		2		Passed	


	{6, 2, 4, 3, 4}		2		Passed	


	{3, 2, 3, 2, 4}		4		Passed	


	{3, 4, 3, 4, 1}		4		Passed	


	{3, 4, 3, 4, 6}		4		Passed	


	{4, 1, 5, 3, 1}		6		Passed	


	{1, 2, 1, 2, 6}		0		Passed	


	{1, 2, 1, 5, 1}		4		Passed	


	{1, 6, 3, 5, 3}		8		Passed	


	{3, 3, 4, 4, 6}		4		Passed	


	{5, 2, 1, 4, 5}		8		Passed	


	{4, 2, 6, 3, 5}		6		Passed	


	{6, 4, 6, 5, 6}		4		Passed	


	{3, 1, 3, 6, 6}		4		Passed	


	{2, 6, 1, 4, 1}		0		Passed	


	{4, 3, 2, 3, 3}		6		Passed	


	{5, 5, 5, 4, 1}		12		Passed	


	{6, 4, 1, 2, 2}		0		Passed	


	{2, 1, 4, 4, 6}		0		Passed	


	{4, 3, 4, 5, 3}		8		Passed	


	{5, 1, 1, 2, 1}		4		Passed	


	{1, 1, 6, 2, 4}		0		Passed	


	{2, 4, 4, 6, 3}		2		Passed	


	{2, 5, 3, 4, 2}		6		Passed	


	{2, 4, 4, 2, 1}		0		Passed	


	{2, 6, 5, 6, 2}		4		Passed	


	{4, 2, 4, 6, 6}		0		Passed	


	{5, 2, 4, 1, 3}		6		Passed	


	{3, 1, 5, 2, 6}		6		Passed	


	{1, 2, 4, 2, 1}		0		Passed	


	{5, 6, 1, 1, 5}		8		Passed	


	{4, 4, 4, 1, 3}		2		Passed	


	{2, 4, 6, 5, 5}		8		Passed	


	{1, 3, 3, 4, 6}		4		Passed	


	{4, 5, 6, 4, 5}		8		Passed	


	{1, 5, 5, 3, 1}		10		Passed	


	{3, 6, 1, 3, 1}		4		Passed	


	{3, 5, 6, 5, 5}		14		Passed	


	{5, 4, 1, 6, 6}		4		Passed	


	{4, 4, 5, 6, 5}		8		Passed	


	{5, 6, 5, 4, 5}		12		Passed	


